abase	lower; degrade; humiliate; make humble; make   (oneself) lose self-respect	Barron4841
abash	embarrass	Barron4841
abate	subside or moderate	Barron4841
abbreviate	shorten	Barron4841
abdicate	renounce; give up   (position, right, or responsibility)	Barron4841
aberrant	abnormal or deviant	Barron4841
aberration	deviation from the normal; mental disorder	Barron4841
abet	assist usually in doing something wrong; encourage	Barron4841
abeyance	suspended action	Barron4841
abhor	detest; hate	Barron4841
abject	  (of a condition) wretched; as low as possible; lacking pride; very humble; showing lack of self-respect; Ex. abject apology	Barron4841
abjure	renounce upon oath	Barron4841
ablution	washing	Barron4841
abnegation	renunciation; self-sacrifice; self-abnegation	Barron4841
abolish	cancel; put an end to	Barron4841
abominate	loathe; hate	Barron4841
abominable	detestable; extremely unpleasant	Barron4841
aboriginal	being the first of its kind in a region; primitive; native; indigenous; N. aborigine	Barron4841
abortive	unsuccessful; fruitless	Barron4841
abrasive	rubbing away; tending to grind down	Barron4841
abridge	condense or shorten	Barron4841
abrogate	abolish	Barron4841
abscission	cutting off; separation	Barron4841
abscond	depart secretly and hide	Barron4841
absolute	complete; totally unlimited; having complete power; certain; not relative; Ex. absolute honesty/ruler; CF. absolutism	Barron4841
absolve	pardon   (an offense)	Barron4841
abstain	refrain; withhold from participation; intentionally not use one'vote; ±â±ÇÇÏ´Ù	Barron4841
abstemious	sparing in eating and drinking; temperate	Barron4841
abstinence	restraint from pleasant things, esp. eating or drinking; CF. abstention: act of abstaining from vote	Barron4841
abstract	theoretical; not concrete; nonrepresentational	Barron4841
representational	  (of a style of art) showing things as they actually appear in real life	Barron4841
abstruse	obscure; profound; difficult to understand	Barron4841
abusive	coarsely insulting; physically harmful	Barron4841
abut	border upon; adjoin	Barron4841
abysmal	bottomless	Barron4841
abyss	enormous chasm; vast bottomless pit	Barron4841
academic	related to a school; not practical or directly useful	Barron4841
accede	agree	Barron4841
accelerate	move faster	Barron4841
accessible	easy to approach; obtainable	Barron4841
accessory	additional object; useful but not essential thing	Barron4841
acclaim	applaud; praise; greet with great approval; announce with great approval; Ex. The new drung has been acclaimed as the most important discoveries for years; N: strong expression of approval and praise	Barron4841
acclimate	adjust to climate or environment; adapt	Barron4841
acclivity	sharp upslope of a hill; OP. declivity	Barron4841
accolade	award of merit; strong praise and approval	Barron4841
merit	good quality deserving praise; merits: aspect of character or behavior deserving approval or disapproval; Ex. judge each plan on its own merits; V: deserve; earn	Barron4841
demerit	fault; bad quality	Barron4841
earn	gain for the performance of service or labor; gain   (something that one deserves); deserve	Barron4841
accommodate	oblige or help someone; adjust or bring into harmony; adapt; make enough space for; ADJ. accommodative; CF. accomodating: helpful and obliging	Barron4841
accomplice	partner in crime	Barron4841
accord	agreement	Barron4841
accost	approach and speak first to a person	Barron4841
accoutre	equip; N. accoutrement	Barron4841
accretion	growth or increase in size by gradual addition; growth; increase; increase by natural growth; Ex. towers and other accretions of the castle; V. accrete	Barron4841
accrue	come to one as a gain; accumulate over time; come about by addition; Ex. benefits that accrue from scientific research; Ex. interest accruing in a bank account; N. accrual	Barron4841
acerbity	bitterness of speech and temper; ADJ. acerbic: bitter; acrid   (in taste, manner, or tone)	Barron4841
bitter	having a sharp biting taste; ¾´; causing sharp pain to the body or mind; filled with resentment, disappointment, or other unpleasant feelings; Ex. bitter wind/sorrow/tears	Barron4841
biting	sharply painful to the body or mind; Ex. biting wind/remarks	Barron4841
acetic	vinegary	Barron4841
acidulous	slightly sour   (in taste or manner); sharp; caustic	Barron4841
acknowledge	recognize; admit	Barron4841
acme	peak; pinnacle; highest point	Barron4841
acoustics	science of sound; quality that makes a room easy or hard to hear in	Barron4841
acquiesce	assent; agree passively; comply without protest	Barron4841
acquittal	deliverance from a charge; V. acquit: free from a charge or accusation; discharge from a duty; conduct   (oneself) in a specified manner	Barron4841
acrid	bitter   (to the taste or smell); sharp; bitterly pungent	Barron4841
acrimonious	stinging; caustic; bitter in words or manner; N. acrimony: bitter ill-natured animosity in speech or behavior	Barron4841
acrophobia	fear of heights	Barron4841
actuarial	calculating; pertaining to insurance statistics	Barron4841
actuary	someone who advises insurance companies	Barron4841
actuate	motivate; activate; cause to act	Barron4841
acuity	sharpness   (of mind or senses of sight or hearing)	Barron4841
acumen	mental keenness; sharpness of judgment; ability to judge quickly and well; Ex. business acumen	Barron4841
acute	  (of the senses) sharp; quickly perceptive; keen; penetrating; brief and severe; Ex. acute sense of smell/analysis/pain	Barron4841
adage	wise saying; proverb	Barron4841
proverb	adage; someone or something well known for notoriety; ADJ. proverbial: of a proverb; widely known; ADV. proverbially	Barron4841
adamant	hard; inflexible	Barron4841
adapt	make or become suitable for a specific use; alter; modify; adjust; N. adaptation: act of adapting; composition recast into a new form; Ex. The play is an adaption of a short novel.	Barron4841
addendum	addition; appendix to book; something that is added   (as at the end of a speech or book)	Barron4841
addiction	compulsive habitual need	Barron4841
addle	make or become confused; muddle; drive crazy; become rotten   (egg)	Barron4841
address	direct a speech to; speak to; deal with or discuss; direct one'efforts or attention to; make with a destination; N: formal speech	Barron4841
adept	expert at; very skilled	Barron4841
adhere	stick fast; be a devotd follower; N. adhesion: adhering; devotion; loyality	Barron4841
adherent	supporter; follower	Barron4841
adjacent	adjoining; neighboring; close by	Barron4841
adjoin	be next to	Barron4841
adjourn	suspend until a later time; move from one place to another	Barron4841
adjunct	something attached to but holding an inferior position	Barron4841
adjuration	solemn urging; V. adjure: entreat earnestly; enjoin solemnly	Barron4841 Leech
adjutant	staff officer assisting the commander; assistant	Barron4841
admonish	warn or speak to with gentle disapproval; reprove	Barron4841
adore	love deeply and respect highly	Barron4841
adorn	decorate	Barron4841
adroit	skillful   (in using mind or hand)	Barron4841
adulation	flattery; admiration that is more than is necessary or deserved	Barron4841
adulterate	make impure or of poorer quality by adding inferior or tainted  (contaminated) substances	Barron4841
advent	arrival	Barron4841
adventitious	accidental; casual; happening by chance	Barron4841
adversary	opponent; enemy	Barron4841
adverse	going against; opposing; unfavorable; hostile	Barron4841
adversity	great hardship or affliction; misfortune; calamitous event	Barron4841
advert	refer	Barron4841
advocacy	support; active pleading on behalf of someone or something	Barron4841
advocate	speak in favor of; support   (an idea or plan); urge; plead for	Barron4841
aegis	shield; protection; defense	Barron4841
aerie  (aery,eyrie,eyry)	nest of a large bird of prey	Barron4841
aesthetic	artistic; dealing with or capable of appreciating the beautiful   (of a person or building); CF. aesthete; CF. aesthetics	Barron4841
affable	easily approachable; easy to talk to; warmly friendly	Barron4841
affected	artificial; pretended	Barron4841
affidavit	written statement made under oath   (for use as proof in a court of law)	Barron4841
affiliation	joining; associating with	Barron4841
affinity	feeling of kinship; similarity; Ex. strong affinity for her; Ex. many affinities between two languages	Barron4841
affirmation	positive assertion; confirmation; solemn pledge by one who refuses to take an oath; V. affirm; ADJ. affirmative; CF. affirmative action: positive discrimination	Barron4841
affliction	state of distress; trial; cause of distress or suffering; V. afflict: inflict grievous suffering on	Barron4841
affluence	abundance; wealth	Barron4841
affront	insult; offense; intentional act of disrespect; V: insult or hurt the feelings of intentionally	Barron4841
agape	openmouthed	Barron4841
agenda	items of business at a meeting	Barron4841
agglomeration	collection; heap; V. agglomerate: gather into a rounded mass; N. aggolmeate: jumbled mass; heap	Barron4841
aggrandize	make greater; increase in power, wealth, rank, or honor; N. aggrandizement	Barron4841
aggregate	sum; total; ADJ. V: gather into a mass or whole; accumulate; add up to; Ex. aggregate 100 dollars	Barron4841
aghast	filled with great surprise or fear; horrified	Barron4841
agility	nimbleness; ability to move quickly	Barron4841
agitate	stir up; disturb	Barron4841
agnostic	one who is skeptical of the existence or knowability of a god or any ultimate reality	Barron4841
agog	highly excited; intensely curious	Barron4841
agrarian	pertaining to land or its cultivation; Ex. agrarian reform	Barron4841
alacrity	cheerful promptness without reluctance	Barron4841
alchemy	medieval chemistry	Barron4841
alcove	nook; recess	Barron4841
alias	an assumed name esp. by a criminal   (usually to mislead people); ADV. alias	Barron4841
alienate	make unfriendly or hostile; estrange; separate; change the ownership of	Barron4841
alimentary	supplying nourishment	Barron4841
alimony	payments made regularly to an ex-spouse after divorce	Barron4841
allay	calm; pacify	Barron4841
allege	state without proof	Barron4841
allegiance	loyalty	Barron4841
allegory	story, play, or picture in which characters are used as symbols; fable	Barron4841
alleviate	relieve   (pain)	Barron4841
alliteration	repetition of beginning sound in poetry	Barron4841
allocate	assign; set apart for a particular purpose	Barron4841
earmark	set aside   (money or time) for a particular purpose	Barron4841
