gregarious	outgoing, very friendly; talkative, sociable		
indigenous	NATIVE: native, originating in a place		
subjective	INTERNAL PERCEPTION: relating to the mind as the subject of experience, ex. Human emotions can only be experienced in a subjective manner; they are inexplicable to an outside observer.		
paradox	CONTRADICTION: seeming contradiction OR an actual contradiction, ex. the paradox of time travel will be resolved when we learn more about the nature of space and time as a continuum.		
anomalous	IRREGULAR: irregular, unusual, ex. Darwin once said there is nothing more anomalous in nature than a bird that cannot fly.		
viscous	THICK AND GOOEY: having a thick consistency, gelatinous, ex. honey is a viscous fluid		
ephemeral	FLEETING: fleeting, of short life or duration, ex. sandcastles are an ephemeral art form, they only last until the next tide		
corroborate	CONFIRM: to confirm, to make certain, ex. Ethel could not find a witness to corroborate her alibi, so she was convicted on all counts.		
implicit	INHERENT: implied, tacitly understood, ex. may constitutional scholars believe that the right of privacy is implicit in the Bill of Rights, even though it is nowhere stated as such.		
lucid	CLEAR: clear, understandable, ex. Teddy was surprisingly lucid after the car wreck; I know I would have been babbling nonsense.		
prodigal	WASTEFUL: foolishly generous, not thrifty, ex. Katherine was being prodigal with her inheritance, rather than setting some of it aside for her old age.		
feign	PRETEND: to pretend, ex. Joe found it difficult to feign surprise when he had known all along what he was getting for Christmas; to fake an emotion		
specious	SEEMINGLY TRUE: having the deceptive look of truth, ex. The Senator seems to prefer a specious argument to a sound one, and a plausible statement to a truthful one.		
arbitrary	RANDOM: random, capricious, impartial, ex. Theresa's decision to cast Bob rather than Fred in the leading role was purely arbitrary.		
intrepid	BOLD: bold, fearless, ex. Sara's intrepid plan to rescue the stranded hikers was frustrated by overly cautious park officials.; fearless; adventurous (often used for rhetorical or humorous effect), unafraid, undaunted, gallant, daring, bold, audacious, heroic, indomitable		
antagonism	HOSTILITY: hostility, enmity, ex. There was enormous antagonism between the amulets and the Montagues, resulting in great tragedy for their children.		
antipathy (- CONNOTATION)	DISLIKE: strong feeling against, dislike for, ex. Despite the fact that his whole family loved it, George had great antipathy towards broccoli.		
